batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,ragged_sibling_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,speedup_sibling_vs_base,bw_gb_s,bw_util_pct
2,0,28,7,2,168,32,128,0.055966666666666665,,0.18933333333333335,0.014199999999999999,0.014100000000000001,3.9345,,13.309233333333333,1.0087333333333333,1548.2879999999998,537.5999666666667
2,0,28,14,2,336,32,128,0.104,,0.35803333333333337,0.021833333333333333,0.021933333333333332,4.7617666666666665,,16.3975,0.9953666666666666,2016.9696999999999,700.3367
2,0,28,21,2,504,32,128,0.22076666666666667,,0.6376333333333334,0.03096666666666667,0.02903333333333333,7.179233333333333,,20.73506666666667,1.0675333333333332,2148.1511,745.8858
2,0,28,28,2,672,32,128,0.40103333333333335,,0.8266333333333332,0.10213333333333334,0.09776666666666667,3.9271999999999996,,8.094533333333333,1.0446,862.468,299.46806666666663
2,4096,7,7,2,42,32,128,0.5464333333333333,0.24163333333333334,,0.2529,,2.1606666666666667,0.9552666666666667,,,21.767033333333334,7.558033333333334
2,4096,7,14,3,84,32,128,0.7451,0.3450333333333333,,0.3527,,2.1126,0.9783333333333334,,,39.02126666666667,13.549066666666667
2,4096,7,21,3,126,32,128,0.7318333333333333,0.35369999999999996,,0.3638333333333333,,2.0112666666666663,0.9721666666666667,,,56.73586666666666,19.699933333333334
2,4096,7,28,3,168,32,128,1.3796333333333333,0.418,,0.4038,,3.4167666666666663,1.0352333333333334,,,68.16813333333333,23.669466666666665
2,4096,14,7,2,84,32,128,0.7434666666666666,0.345,,0.35253333333333337,,2.109,0.9787333333333333,,,31.2329,10.844766666666667
2,4096,14,14,2,168,32,128,1.3781666666666668,0.4174333333333333,,0.40359999999999996,,3.414466666666667,1.0341333333333333,,,54.5581,18.943766666666665
2,4096,14,21,3,252,32,128,1.447733333333333,0.5859666666666666,,0.5865333333333334,,2.4695,0.9995666666666668,,,70.42716666666666,24.453866666666666
2,4096,14,28,3,336,32,128,1.5730666666666666,0.8217666666666666,,0.8038333333333334,,1.9579333333333333,1.0235,,,68.51953333333334,23.791533333333334
2,4096,21,7,2,126,32,128,0.7305999999999999,0.3537333333333333,,0.3633333333333333,,2.0107,0.9735,,,45.45226666666667,15.782033333333333
2,4096,21,14,2,252,32,128,1.4555666666666667,0.5888,,0.5757333333333333,,2.5281333333333333,1.0226666666666666,,,57.3691,19.9198
2,4096,21,21,2,378,32,128,1.6184333333333332,0.8450000000000001,,0.8338333333333333,,1.9411333333333332,1.0134333333333334,,,59.425700000000006,20.63393333333333
2,4096,21,28,3,504,32,128,2.5128,1.3073,,1.2259666666666666,,2.0496666666666665,1.0663333333333334,,,67.3561,23.387533333333334
2,4096,28,7,2,168,32,128,1.3784,0.4171,,0.40313333333333334,,3.4194666666666667,1.0346666666666666,,,54.62686666666667,18.967699999999997
2,4096,28,14,2,336,32,128,1.5744666666666667,0.8010999999999999,,0.7930333333333334,,1.9854,1.0102333333333335,,,55.53523333333334,19.283066666666667
2,4096,28,21,2,504,32,128,2.4568,1.3086333333333333,,1.2078,,2.0343666666666667,1.0836,,,54.69823333333333,18.99246666666667
2,4096,28,28,2,672,32,128,3.2919,1.8354666666666668,,1.6424,,2.004466666666667,1.1176000000000001,,,53.63163333333333,18.62206666666667
4,0,7,7,2,42,32,128,0.014533333333333334,,0.06280000000000001,0.0105,0.012066666666666665,1.3838666666666668,,5.9777,0.8967666666666667,1047.3129666666666,363.6503
4,0,7,14,3,84,32,128,0.03233333333333333,,0.1389,0.017,0.015433333333333334,1.9226666666666665,,8.253933333333334,1.1026666666666667,1636.4043666666666,568.1959666666667
4,0,7,21,3,126,32,128,0.042666666666666665,,0.2205,0.020133333333333333,0.020233333333333332,2.118933333333333,,10.951333333333332,0.9970666666666667,2050.2939,711.9076333333333
4,0,7,28,3,168,32,128,0.08293333333333335,,0.3717,0.0266,0.025966666666666666,3.1201666666666665,,13.984700000000002,1.0242000000000002,2071.3848333333335,719.2308333333334
4,0,14,7,2,84,32,128,0.031766666666666665,,0.13856666666666667,0.016966666666666668,0.016833333333333336,1.8751,,8.173866666666667,1.0084,1299.5135,451.2199666666667
4,0,14,14,2,168,32,128,0.0829,,0.36719999999999997,0.022433333333333333,0.022966666666666666,3.693233333333333,,16.359133333333332,0.9789333333333333,1962.4232333333332,681.3969333333333
4,0,14,21,3,252,32,128,0.11476666666666667,,0.5366333333333334,0.032433333333333335,0.032466666666666665,3.5418,,16.5621,0.9978666666666666,2549.2875333333336,885.1693
